concentration	abs
0	0.004704414232273958
315.7894736842105	0.04601686151483459
631.578947368421	0.09903068141516161
947.3684210526316	0.11184782367351773
1263.157894736842	0.20710879489719639
1578.9473684210525	0.2659634592389067
1894.7368421052631	0.28584094057290815
2210.5263157894738	0.34821728425055143
2526.315789473684	0.4020831194798984
2842.1052631578946	0.4638049661816136
3157.894736842105	0.5228423069142726
3473.684210526316	0.5708153928202396
3789.4736842105262	0.6684916726445626
4105.263157894737	0.6920916085152795
4421.0526315789475	0.7527926752883883
4736.8421052631575	0.7581403770068147
5052.631578947368	0.8403882429814425
5368.421052631579	0.8875540524805074
5684.210526315789	0.9234962417213569
6e3	1.0072837347404444
